Stories For Children,,Oscar Wilde,,,ARMADILLO BOOKS,1999,9781900465823,Children's Stories,,,,,,,StoriesForChildrenOscarW893_f.jpg,
"Kings & Queens (The Millennium Series, 2)",,John A. Guy,,,Ticktock Publishing Ltd,2002,9781860070198,Great Britain/ History/ Tudors,,,,,,,KingsQueensTheMillennium880_f.jpg,
The Little Red Riding Hood Rebus Book,,Ann Morris,,,Orchard,1987,9781852130381,Children's Stories,,,,,,,,
The English Country House: A Celebration,,Mark Girouard; Fred J. Maroon,,,Pavilion Bks.,1988,9781851452538,Architecture / Residential; Country Homes; Gardens,,,,,,,,
The Orchard Book Of Roman Myths (Orchard Book Of),,Geraldine McCaughrean,,,Orchard Books,2003,9781843623083,Mythology,,,,,,,TheOrchardBookOfRomanMyth871_f.jpg,
Celtic Treasury,,Mustard; Philip Wilson; Sue Clarke,,,Mustard,1999,9781841641393,Celts; Fairy Tales; Fiction / Fairy Tales,,,,,,,CelticTreasuryMustardPhi901_f.jpg,
Churchill's Hour: A Novel Of Defiance,,Michael Dobbs,,,Sourcebooks Landmark,2008,9781402213922,Churchill,,,,,,,ChurchillsHourANovelOfD762_f.jpg,
Early People (Eyewitness Guides),,Nick Merriman,,,Dorling Kindersley Publishers Ltd,1998,9780863183423,Man,,,,,,,,
The 1970s,,Tim Healey,,,Franklin Watts,1989,9780863137020,History,,,,,,,,
Asterix And Caesar's Gift (Asterix),,Rene Goscinny,,,Orion,2005,9780752866468,Astâerix (Fictitious Character) - Comic Books,,,,,,,AsterixAndCaesarsGiftAst608_f.jpg,
Asterix And The Cauldron (Asterix),,Rene Goscinny,,,Orion,2004,9780752866291,Astérix (Fictitious Character); Asterix (Fictitious Character); Comic Books,,,,,,,AsterixAndTheCauldronAste659_f.jpg,
Mr. Grumble,,Roger Hargreaves,,,Egmont Books,1998,,,,,,,,,,
Teen Guide To Married Life,,Liz Friedrich,,,Franklin Watts,1989,9780749600402,Juvenile Nonfiction / Family / General; Juvenile Nonfiction / Family / Marriage & Divorce; Juvenile Nonfiction / Social Science / Customs,,,,,,,,
The Selfish Crocodile,,Faustin Charles,,,Bloomsbury Publishing PLC,1999,9780747541936,Children's Stories; Crocodiles; Juvenile Fiction / Animals / Alligators & Crocodiles; Juvenile Fiction / Animals / Mice,,,,,,,TheSelfishCrocodileFausti352_f.jpg,
Watch Out! Big Bro's Coming,,Jez Alborough,,,Walker,1999,9780744563047,Brothers; Juvenile Fiction / Animals / Jungle Animals; Juvenile Fiction / Animals / Mice,,,,,,,WatchOutBigBrosComing401_f.jpg,
Thief!,,Malorie Blackman,,,Corgi Childrens,1996,9780552528085,Adventure; Juvenile Fiction / General; Juvenile Fiction / Law & Crime; Juvenile Fiction / Science Fiction,,,,,,,ThiefMalorieBlackman558_f.jpg,
The Outlaws,,W.E.B. Griffin; William E. Butterworth,,,,,,,,,,,,,,
Scooby-Doo Storybook Collection (Scooby-Doo Bind-Up),,Jesse Leon McCann,,,Scholastic Paperbacks,2002,9780439513203,Children's Stories,,,,,,,ScoobyDooStorybookCollectio380_f.jpg,
Mind Prey,,John Sandford,,,Berkley Pub Group,2011,9780425244494,Davenport,,,,,,,MindPreyJohnSandford729_f.jpg,
Cleopatra: A Life,,Stacy Schiff,,,Little,2011,,,,,,,,,,
War In European History,,Michael Howard,,,OUP Oxford,2009,9780199546190,Europe - History,,,,,,,,
Hobbes: A Very Short Introduction (Very Short Introductions),,Richard Tuck,,,Oxford University Press,2002,9780192802552,Biography & Autobiography / General; Hobbes,,,,,,,HobbesAVeryShortIntroduct584_f.jpg,
"The Lion, The Witch And The Wardrobe: Graphic Novel (The Chronicles Of Narnia)",,C.S. Lewis,,,Collins,1994,9780001939776,Fantasy; Juvenile Fiction / Classics; Juvenile Fiction / General; Juvenile Fiction / Science Fiction,,,,,,,TheLionTheWitchAndTheWa265_f.jpg,
