Title,No. of Pages,Author,,,Publisher,Publication Year,ISBN,Subject,,,,,,Clz Book ID,Front Cover,,,
The Mini Treasure Chest Of Great Fairy Tales,,,,,Tormont,1991,9782894290101,,,,,,,5257382,TheMiniTreasureChestOfGre360_f.jpg,,,
The Boys' Annual 2008,64,Jenny Siklos,,,Buster Books,2007,9781906082031,Family & Relationships / Activities; Juvenile Nonfiction / School & Education,,,,,,4690465,TheBoysAnnual2008Jenny616_f.jpg,,,
Incy Wincy Spider (Finger Puppet Books),16,Katie George,,,Gullane Children's Books,1996,9781899607105,,,,,,,7266781,,,,
Mexico,32,Helen Arnold,,,,1996,9781874488477,,,,,,,14030126,,,,
Favourite Book Of Animal Stories,96,,,,grandreams,1996,9781858304328,,,,,,,7744124,,,,
Science (Key Stage 3 Study Guides),200,G.R. McDuell,,,Letts Educational,1995,9781857583489,Science; Science / General,,,,,,1748033,ScienceKeyStage3StudyGui303_f.jpg,,,
Amazing Things To Make And Do For 7 Year Olds,,Deborah Manley,,,Kingfisher Books,1994,9781856971843,,,,,,,12362877,,,,
"Scales, Arpeggios & Broken Chords",,,,,The Board,1994,9781854727589,,,,,,,7664845,ScalesArpeggiosBrokenCho383_f.jpg,,,
Katie's Picture Show (Orchard Paperbacks),32,James Mayhew,,,Orchard Books,1993,9781852135676,Art Appreciation; Juvenile Fiction / Art & Architecture; Juvenile Fiction / General; Museums,,,,,,153621,,,,
The Night Before Christmas,14,Clement Clarke Moore,,,Orchards Books,1992,9781852131234,Juvenile Nonfiction / Poetry / General,,,,,,1715795,TheNightBeforeChristmasC371_f.jpg,,,
Mr Benn-Gladiator,32,David McKee,,,Trafalgar Square,2001,9781842700242,Costume/ Fiction; Gladiators; Gladiators/ Fiction; Juvenile Fiction / Historical / Ancient Civilizations; Time Travel/ Fiction,,,,,,9833155,MrBennGladiatorDavidMcKe316_f.jpg,,,
Inventing Elliot,183,Graham Gardner,,,Orion Children's Books,2004,9781842552087,Bullying; Juvenile Fiction / General; Juvenile Fiction / School & Education; Juvenile Fiction / Social Issues / Bullying; Teenage Boys,,,,,,8685688,InventingElliotGrahamGard594_f.jpg,,,
Prehistoric Life,70,Jinny Johnson,,,Marshall,1998,9781840281538,Dinosaurs - Juvenile Literature; Paleontology - Juvenile Literature,,,,,,13731103,,,,
The Vain Crow And Other Stories,,,,,,2011,9781730121487,,,,,,,14029391,,,,
Winning Mars Sc,320,Jason Stoddard,,,Prime Books,2010,9781607012160,Fiction,,,,,,11079201,WinningMarsScJasonStodda752_f.jpg,,,
One Perfect Shot,250,Steven F. Havill,,,Poisoned Pen Pr,2012,9781590589564,Fiction,,,,,,11491601,OnePerfectShotStevenFH771_f.jpg,,,
Marathon,304,Richard A. Billows,,,Penguin Group USA,2011,9781590205686,History / Ancient / Greece; History / Civilization; History / Europe / Western; History / General; History / Military / Other,,,,,,11749316,MarathonRichardABillows789_f.jpg,,,
Spunk: Three Tales By Zora Neale Hurston,80,Zora Neale Hurston,,,Theatre Communications Group,1993,9781559360241,Drama,,,,,,4578436,SpunkThreeTalesByZoraNea736_f.jpg,,,
Rainbow Fish To The Rescue!,32,Marcus Pfister,,,North-South Books,1995,9781558584860,Fishes/ Fiction; Friendship; Friendship/ Fiction; Sharks; Sharks/ Fiction,,,,,,13388,RainbowFishToTheRescue281_f.jpg,,,
2012 Collector Car Price Guide,760,Ron Kowalke,,,,2011,9781440223778,,,,,,,13060688,,,,
The Athena Project,336,Brad Thor,,,Simon & Schuster,2011,9781439192979,Spy Stories; Suspense Fiction; Terrorism; Terrorism - Prevention; Terrorism/ Prevention/ Fiction,,,,,,10531734,TheAthenaProjectBradThor721_f.jpg,,,
The Space Merchants,239,Frederik Pohl,,,Thomas Dunne Books,2011,9781250000156,,,,,,,11574362,TheSpaceMerchantsFrederik778_f.jpg,,,
Jimmy's Sunny Book,14,Paul Dowling,,,,1994,9780862644833,,,,,,,11461727,JimmysSunnyBookPaulDowl373_f.jpg,,,
A Treasury Of Favourite Tales,96,Anne McKie,,,grandreams,1996,9780862277062,Fairy Tales; Short Stories,,,,,,8477211,,,,
The Story Of Puss In Boots,20,Charles Perrault,,,Award,1987,9780861631384,Juvenile Fiction / Clothing & Dress; Juvenile Fiction / Fairy Tales & Folklore / General; Readers,,,,,,11818555,,,,
The Story Of Jack And The Beanstalk,,,,,Award,1987,9780861631360,Readers,,,,,,14024252,,,,
The World That God Made,20,Kathleen Long Bostrom,,,Tyndale For Kids,1997,9780842382946,Creation; Creation/ Fiction; Creation/ Juvenile Fiction; Stories In Rhyme; Toy And Movable Books/ Specimens,,,,,,2304581,TheWorldThatGodMadeKath250_f.jpg,,,
"Rivers Of Gold: The Rise Of The Spanish Empire, From Columbus To Magellan",720,Hugh Thomas,,,Random House Trade Paperbacks,2005,9780812970555,America; Biography & Autobiography / Adventurers & Explorers; History / Europe / Spain & Portugal; History / Expeditions & Discoveries; Spain,,,,,,364818,RiversOfGoldTheRiseOfTh695_f.jpg,,,
Peter And The Wolf,32,Selina Hastings; Reg Cartwright,,,Henry Holt & Company Books For Young Readers,1990,9780805013627,Juvenile Fiction,,,,,,12735929,PeterAndTheWolfSelinaHa298_f.jpg,,,
A Dog's Purpose,336,W. Bruce Cameron,,,Tom Doherty Associates,2011,9780765330345,Fiction / Family Life; Fiction / General,,,,,,10716564,ADogsPurposeWBruceCam781_f.jpg,,,
Treasure Hunt ('Mummy'),31,Jackie Gaff,,,Kingfisher Books Ltd,2002,9780753407417,Egypt; Juvenile Fiction / General; Juvenile Fiction / People & Places / Middle East,,,,,,5810214,TreasureHuntMummyJack602_f.jpg,,,
Soccer Superstars 1999-2000,95,Paul Fry,,,Parragon,1999,9780752529622,Soccer Players,,,,,,9291567,SoccerSuperstars19992000611_f.jpg,,,
A Wish Too Far / Puffcheek's Palace,30,Lesley Smith,,,Parragon,1990,9780752519227,,,,,,,5271017,,,,
Purple Ronnie's Little Book For A Lovely Mum (Purple Ronnie),64,Giles Andreae,,,Boxtree Ltd,2006,9780752225647,Poetry,,,,,,147452,PurpleRonniesLittleBookFo562_f.jpg,,,
The War In Former Yugoslavia,64,Nathaniel Harris,,,Wayland,1997,9780750220538,,,,,,,14030127,,,,
Guy Fawkes And The Gunpowder Gang,46,Rob Childs,,,Macdonald Young Books,1995,9780750017145,Juvenile Fiction / Action & Adventure / General,,,,,,10270670,GuyFawkesAndTheGunpowderG573_f.jpg,,,
Mr. Small,36,Roger Hargreaves,,,World International,1998,9780749838218,Juvenile Fiction / General; Juvenile Fiction / Social Issues / General,,,,,,8713967,MrSmallRogerHargreaves565_f.jpg,,,
The Three Little Wolves And The Big Bad Pig,32,Eugene Trivizas,,,Mammoth,1995,9780749725051,Folklore; Juvenile Fiction / Animals / Wolves; Juvenile Fiction / General,,,,,,913746,TheThreeLittleWolvesAndTh258_f.jpg,,,
It Takes Two,,Karen Wallace,,,Watts,1997,9780749629007,Animal Behavior - Juvenile Literature; Animal Life Cycles - Juvenile Literature,,,,,,13718159,,,,
The Blue Dragon,,Rosie Alison; Atholl McDonald,,,Bloomsbury Children's Books,1998,9780747538455,,,,,,,14029390,,,,
Usborne Animated Children's Encyclopedia (Usborne Multimedia),128,Jane Elliot; Colin King; Susan Crawford; Annabel Craig,,,Usborne Publishing Ltd,1998,9780746033555,Children's Encyclopedias And Dictionaries; Juvenile Nonfiction / Reference / Encyclopedias; Juvenile Nonfiction / Reference / General; Reference / Encyclopedias,,,,,,1476785,UsborneAnimatedChildrensEn170_f.jpg,,,
Puzzle Dungeon,32,Susannah Leigh,,,E.D.C. Publishing,1995,9780746016794,Games / Puzzles; Juvenile Nonfiction / Games & Activities / General; Juvenile Nonfiction / Games & Activities / Puzzles; Picture Puzzles; Puzzles,,,,,,2596347,PuzzleDungeonSusannahLeig217_f.jpg,,,
Knowhow Omnibus: Paper Fun / Action Games / Action Toys / Print And Paint / Puppets / Flying Models,,,,,,,9780746008034,,,,,,,14029393,,,,
Starting To Measure,28,Karen Bryant-Mole; Jenny Tyler; G. Round,,,Usborne,1990,9780746006245,Arithmetic; Juvenile Nonfiction / Mathematics / General; Juvenile Nonfiction / Science & Nature / General; Length Measurement; Mathematics / Arithmetic,,,,,,9898340,StartingToMeasureKarenBr234_f.jpg,,,
"Hello, Beaky",25,Jez Alborough,,,Walker Books Ltd,1998,9780744554861,Birds; Juvenile Fiction / Animals / Birds,,,,,,1528763,HelloBeakyJezAlborough187_f.jpg,,,
The Adventures Of Robin Hood,25,Marcia Williams,,,Walker Books Ltd,1996,9780744547658,,,,,,,422109,,,,
Out And About With Tom And Pippo,28,Helen Oxenbury,,,Walker,1995,9780744537208,Juvenile Fiction,,,,,,11190398,,,,
Flag Fun!,32,Lisa Dennis,,,,2002,9780743450539,,,,,,,14029392,,,,
Gymnastics,48,Brian Stocks; British Amateur Gymnastics Association,,,A & C Black,1994,9780713638110,Gymnastics,,,,,,8449797,,,,
Brave Hare,32,Dave Saunders; Julie Saunders,,,Frances Lincoln Ltd,1993,9780711207615,,,,,,,11386472,BraveHareDaveSaundersJu209_f.jpg,,,
What Casanova Told Me,336,Susan Swan,,,Vintage Canada,2005,9780676975772,,,,,,,7263650,WhatCasanovaToldMeSusan587_f.jpg,,,
The Most Amazing Hide And Seek Alphabet Book,12,Robert Crowther,,,Kestrel Books,1977,9780670489961,Alphabet; Alphabet Books; Alphabet/ Juvenile Literature; Counting; English Language,,,,,,12140512,,,,
Conspiracy (Alien Files),96,Daniel Cohen,,,Scholastic Inc.,1998,9780590763424,Juvenile Fiction,,,,,,1466256,ConspiracyAlienFilesDan182_f.jpg,,,
Three Billy Goats Gruff (Picture Books),32,Ted Dewan,,,Scholastic,1995,9780590559164,,,,,,,4798341,,,,
We Can Use The Computer: Book E (We Can Use Computers),,Rachel Biheller Bunin; Maureen Berliner Engeleit,,,Scholastic,1994,9780590495462,Education / Teaching Methods & Materials / General; Juvenile Nonfiction / Computers / General,,,,,,3314846,WeCanUseTheComputerBook344_f.jpg,,,
I Spy: A Book Of Picture Riddles,40,Jean Marzollo; Carol Devine Carson,,,Cartwheel,1992,9780590450874,Hidden-picture Books; Juvenile Nonfiction / Games & Activities / General; Picture Puzzles; Picture Puzzles/ Juvenile Literature,,,,,,425557,ISpyABookOfPictureRiddl287_f.jpg,,,
The Mall (Point Horror),176,Richie Tankersley Cusick,,,Scholastic,1995,9780590131582,Juvenile Nonfiction,,,,,,435623,TheMallPointHorrorRich597_f.jpg,,,
Jungle Book: Disney Animated Series,,Walt Disney,,,Crescent,1988,9780517670064,,,,,,,5457357,,,,
