Convergence of Project Management and Knowledge Management,"T. Kanti Srikantaiah, Michael E. D. KoenigSuliman Hawamdeh
",Business and Management,"Business and Management, Case studies",Convergence of Project Management and Knowledge Management.jpg,Convergence of Project Management and Knowledge Management.pdf,Convergence of Project Management and Knowledge Management.html,321
Effective Pricing with SAP ERP,D. Rajen Iyer and Suresh Veeraraghavan,Business and Management,"Business and Management,  Business & Economics, Marketing, General",Effective Pricing with SAP ERP.jpg,Effective Pricing with SAP ERP.pdf,Effective Pricing with SAP ERP.html,322
"Excellence in Coaching The Industry Guide, 2nd edition",Jonathan Passmore,Business and Management,"Business and Management, accreditation, evaluating coaching","Excellence in Coaching The Industry Guide, 2nd edition.jpg","Excellence in Coaching The Industry Guide, 2nd edition.pdf","Excellence in Coaching The Industry Guide, 2nd edition.html",323
Olive Germplasm The Olive Cultivation Table Olive and Olive Oil Industry in Italy,Innocenzo Muzzalupo,Business and Management,"Business and Management,",Olive Germplasm The Olive Cultivation Table Olive and Olive Oil Industry in Italy.jpg,Olive Germplasm The Olive Cultivation Table Olive and Olive Oil Industry in Italy.pdf,Olive Germplasm The Olive Cultivation Table Olive and Olive Oil Industry in Italy.html,324
Optimizing Sales and Distribution in SAP ERP Functionality and Configuration,Ashish Mohapatra,Business and Management,"Business and Management, Real-World Scenarios and Tips",Optimizing Sales and Distribution in SAP ERP Functionality and Configuration.jpg,Optimizing Sales and Distribution in SAP ERP Functionality and Configuration.pdf,Optimizing Sales and Distribution in SAP ERP Functionality and Configuration.html,325
Practical Concepts of Quality Control,Mohammad Saber Fallah Nezhad,Business and Management,"Business and Management,",Practical Concepts of Quality Control.jpg,Practical Concepts of Quality Control.pdf,Practical Concepts of Quality Control.html,326
The Great Learning,Confucius,Computing,"Computing, Computers, Programming Languages, General",The Great Learning.jpg,The Great Learning.pdf,The Great Learning.html,327
Money Secrets ,Dave Barry,Education,"Education, Finance, Personal",Moneysecrets.jpg,Money Secrets - Dave Barry.pdf,Money Secrets - Dave Barry.html,328
How to Think Like the Worlds Greatest High-tech Titans,Erika Brown,Engineering & Maths, Engineering & Maths Technology & Engineering / Technical & Manufacturing Industries & Trades,HowToThinLikeTheWorldsGreatest.jpg,How to Think Like the Worlds Greatest High-tech Titans.pdf,How to Think Like the Worlds Greatest High-tech Titans.html,329
A Stranger In The Mirror,Sidney Sheldon,Fiction,"Fiction, General",AStrangerInTheMirror.jpg,A Stranger In The Mirror.pdf,A Stranger In The Mirror.html,330
A Time To Kill,JohnGrisham,Fiction,"Fiction, Thrillers",ATimeToKill.jpg,A Time To Kill.pdf,A Time To Kill.html,331
