Immortals of Meluha,"Tripathi, Amish",Fiction,"Fiction, Fairy Tales, Folk Tales, Legends & Mythology",Immortals of Meluha.jpg,Immortals of Meluha.pdf,Immortals of Meluha.html,497
Web Technology,Manju Bhargavi,Computing,"Computing, Internet, General",Web Technology.jpg,Web Technology.pdf,Web Technology.html,498
Frontiers in Radiation Oncology,Tejinder Kataria,Medicine,"Medical, Radiology & Nuclear Medicine",Frontiers in Radiation Oncology.jpg,Frontiers in Radiation Oncology.pdf,Frontiers in Radiation Oncology.html,499
"Fundamentals of Pharmacognosy and Phytotherapy, 2nd Edition","Michael Heinrich, Joanne Barnes, Simon Gibbons, Elizabeth M. Williamson",Medicine,"Medical, Pharmacology","Fundamentals of Pharmacognosy and Phytotherapy, 2nd Edition.jpg","Fundamentals of Pharmacognosy and Phytotherapy, 2nd Edition.pdf","Fundamentals of Pharmacognosy and Phytotherapy, 2nd Edition.html",500
Attention Deficit Hyperactivity Disorder in Children and Adolescents,Somnath Banerjee,Philosophy,"Psychology, Psychopathology, General",Attention Deficit Hyperactivity Disorder in Children and Adolescents.jpg,Attention Deficit Hyperactivity Disorder in Children and Adolescents.pdf,Attention Deficit Hyperactivity Disorder in Children and Adolescents.html,501
Updates in Advanced Lithography,Sumio Hosaka,Engineering & Maths,"Technology & Engineering, Manufacturing",Updates in Advanced Lithography.jpg,Updates in Advanced Lithography.pdf,Updates in Advanced Lithography.html,502
Skin Biopsy Diagnosis and Treatment,Suran L. Fernando,Medicine,"Medical, General",Skin Biopsy Diagnosis and Treatment.jpg,Skin Biopsy Diagnosis and Treatment.pdf,Skin Biopsy Diagnosis and Treatment.html,503
Recent Advances in Infective Endocarditis,Steven W. Kerrigan,Medicine,"Medical, Cardiology",Recent Advances in Infective Endocarditis.jpg,Recent Advances in Infective Endocarditis.pdf,Recent Advances in Infective Endocarditis.html,504
"Davis's Drug Guide for Nurses, 13th edition","April Hazard Vallerand, April Vallerand, Cynthia A. Sanoski, Judith Hopfer Deglin",Medicine,"Medical, Nursing, Pharmacology","Davis's Drug Guide for Nurses, 13th edition.jpg","Davis's Drug Guide for Nurses, 13th edition.pdf","Davis's Drug Guide for Nurses, 13th edition.html",505
In course of true love,Sanjeev Ranjan,Fiction,"Fiction, Romance, General",In course of true love.jpg,In course of true love.pdf,In course of true love.html,506
Radiation Oncology in Palliative Cancer Care,"Stephen Lutz, Edward Chow, Peter Hoskin",Medicine,"Medical, Oncology",Radiation Oncology in Palliative Cancer Care.jpg,Radiation Oncology in Palliative Cancer Care.pdf,Radiation Oncology in Palliative Cancer Care.html,507
Surfaces and Essences Analogy as the Fuel and Fire of Thinking,"Douglas Hofstadter, Douglas R. Hofstadter",Philosophy,"Philosophy, General",Surfaces and Essences Analogy as the Fuel and Fire of Thinking.jpg,Surfaces and Essences Analogy as the Fuel and Fire of Thinking.pdf,Surfaces and Essences Analogy as the Fuel and Fire of Thinking.html,508
Invasive Plant Ecology,"Shibu Jose, Harminder Pal Singh, Daizy Rani Batish, Ravinder Kumar Kohli",Sciences,"Science, Life Sciences, Botany",Invasive Plant Ecology.jpg,Invasive Plant Ecology.pdf,Invasive Plant Ecology.html,509
Type 2 Diabetes,Kazuko Masuo,Medicine,"Medical, Endocrinology & Metabolism",Type 2 Diabetes.jpg,Type 2 Diabetes.pdf,Type 2 Diabetes.html,510
