Meditations,Marcus  Aurelius,Philosophy,"Philosophy, History & Surveys, Ancient & Classical",Meditations.jpg,Meditations.pdf,Meditations.html,372
Emma,Jane Austen,Fiction,"Fiction, Classics",Emma.jpg,Emma.pdf,Emma.html,373
Mansfield Park,Jane Austen,Fiction,"Fiction, Classics",Mansfield Park.jpg,Mansfield Park.pdf,Mansfield Park.html,374
Pride and Prejudice,Jane Austen,Fiction,"Fiction, Romance, General",Pride and Prejudice.jpg,Pride and Prejudice.pdf,Pride and Prejudice.html,375
Sense and Sensibility,Jane Austen,Fiction,"Fiction, Romance, General",Sense and Sensibility.jpg,Sense and Sensibility.pdf,Sense and Sensibility.html,376
Alice's Adventures in Wonderland,Lewis Carroll,Fiction,"Juvenile Fiction, Fantasy & Magic",Alice's Adventures in Wonderland.jpg,Alice's Adventures in Wonderland.pdf,Alice's Adventures in Wonderland.html,377
Warrior of the Light volume 1,Paulo Coelho,Fiction,"Fiction, General",Warrior of the Light volume 1.jpg,Warrior of the Light volume 1.pdf,Warrior of the Light volume 1.html,378
Warrior of the Light volume 2,Paulo Coelho,Fiction,"Fiction, General",Warrior of the Light volume 2.jpg,Warrior of the Light volume 2.pdf,Warrior of the Light volume 2.html,379
Warrior of the Light volume 3,Paulo Coelho,Fiction,"Fiction, General",Warrior of the Light volume 3.jpg,Warrior of the Light volume 3.pdf,Warrior of the Light volume 3.html,380
The Way of the Bow,Paulo Coelho,Fiction,"Fiction, Sports",The Way of the Bow.jpg,The Way of the Bow.pdf,The Way of the Bow.html,381
The Pilgrimage,Paulo Coelho,Fiction,"Fiction, Religious",The Pilgrimage.jpg,The Pilgrimage.pdf,The Pilgrimage.html,382
The Zahir,Paulo Coelho,Fiction,"Fiction, General",The Zahir.jpg,The Zahir.pdf,The Zahir.html,383
Veronika decides to die,Paulo Coelho,Fiction,"Fiction, General",Veronika decides to die.jpg,Veronika decides to die.pdf,Veronika decides to die.html,384
"Stories for Parents, Children and Grandchildren",Paulo Coelho,Fiction,"Fiction, Short Stories (single author)","Stories for Parents, Children and Grandchildren.jpg","Stories for Parents, Children and Grandchildren.pdf","Stories for Parents, Children and Grandchildren.html",385
The Brothers Karamazov,Fyodor Dostoyevsky,Fiction,"Fiction, General",The Brothers Karamazov.jpg,The Brothers Karamazov.pdf,The Brothers Karamazov.html,386
The Curious Case of Benjamin Button,Francis Scott Fitzgerald,Fiction,"Fiction, Literary",The Curious Case of Benjamin Button.jpg,The Curious Case of Benjamin Button.pdf,The Curious Case of Benjamin Button.html,387
The Great Gatsby,Francis Scott Fitzgerald,Fiction,"Fiction, Classics",The Great Gatsby.jpg,The Great Gatsby.pdf,The Great Gatsby.html,388
Grimms' Fairy Tales,"Jacob W. Grimm, W. C. Grimm",Fiction,"Juvenile Fiction, Fairy Tales & Folklore, General",Grimms' Fairy Tales.jpg,Grimms' Fairy Tales.pdf,Grimms' Fairy Tales.html,389
"The Case Of Wagner, Nietzsche Contra Wagner, and Selected Aphorisms",Friedrich Nietzsche,Fiction,"Fiction, General","The Case Of Wagner, Nietzsche Contra Wagner, and Selected Aphorisms.jpg","The Case Of Wagner, Nietzsche Contra Wagner, and Selected Aphorisms.pdf","The Case Of Wagner, Nietzsche Contra Wagner, and Selected Aphorisms.html",390
To the Lighthouse,Woolf Virginia,Fiction,"Fiction, Classics",To the Lighthouse.jpg,To the Lighthouse.pdf,To the Lighthouse.html,391
Tractatus Logico-Philosophicus,Ludwig Wittgenstein,Philosophy,"Philosophy, Logic",Tractatus Logico-Philosophicus.jpg,Tractatus Logico-Philosophicus.pdf,Tractatus Logico-Philosophicus.html,392
"I, Robot",Cory Doctorow,Fiction,"Fiction, Science Fiction, Collections & Anthologies","I, Robot.jpg","I, Robot.pdf","I, Robot.html",393
With a Little Help,Cory Doctorow,Fiction,"Fiction, Science Fiction, Hard Science Fiction",With a Little Help.jpg,With a Little Help.pdf,With a Little Help.html,394
